Ad format;Campaign;Account;Campaign ID;Clicks;CTR;Impr.;Avg. CPC;Avg. CPM;TrueView views;TrueView avg. CPV;Cost;Conversions;Cost / conv.
Skippable in-stream;Ahmad Tea Nov 2025 (YT) - VVC;Ahmad Tea;23247653498;422;0.03%;1,221,810;6.7;2.31;791,394;0;2828.18;0;0
In-feed;Ahmad Tea Nov 2025 (YT) - VVC;Ahmad Tea;23247653498;3;0.01%;38,094;5.56;0.44;1,429;0.01;16.68;0;0
Skippable in-stream;Ahmad Tea Nov 2025 (YT) - Reach Mix 2.0;Ahmad Tea;23242582539;584;0.08%;708,482;1.72;1.42;309,743;0;1003.46;0;0
In-feed;Ahmad Tea Nov 2025 (YT) - Reach Mix 2.0;Ahmad Tea;23242582539;53;0.00%;1,170,315;6.21;0.28;8,289;0.04;329.31;0;0
Bumper;Ahmad Tea Nov 2025 (YT) - Reach Mix 2.0;Ahmad Tea;23242582539;1,762;0.09%;2,044,903;1.46;1.25;0;0;2565.5;0;0
Shorts;Ahmad Tea Nov 2025 (YT) - Reach Mix 2.0;Ahmad Tea;23242582539;36;0.01%;311,779;10.25;1.18;4,502;0.08;368.87;0;0
Skippable in-stream;Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;Porsche Osobna Vozila;22435818886;262;0.06%;432,154;3.48;2.11;167,256;0.01;911.62;0;0
In-feed;Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;Porsche Osobna Vozila;22435818886;54;0.01%;782,963;6.56;0.45;18,317;0.02;354.38;0;0
Bumper;Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;Porsche Osobna Vozila;22435818886;1,837;0.14%;1,346,429;1.01;1.38;0;0;1860.05;0;0
Shorts;Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;Porsche Osobna Vozila;22435818886;1,370;0.15%;943,971;0.46;0.67;14,005;0.05;634.21;0;0
Skippable in-stream;Ahmad Tea Jan - Feb 2025 (YT) - Reach Mix 2.0;Ahmad Tea;22135917811;391;0.06%;605,433;2.3;1.48;219,845;0;898.07;0;0
In-feed;Ahmad Tea Jan - Feb 2025 (YT) - Reach Mix 2.0;Ahmad Tea;22135917811;27;0.01%;277,292;2.11;0.21;4,090;0.01;56.9;0;0
Bumper;Ahmad Tea Jan - Feb 2025 (YT) - Reach Mix 2.0;Ahmad Tea;22135917811;3,111;0.14%;2,253,708;0.61;0.84;0;0;1901.33;0;0
Skippable in-stream;Ahmad Tea Jan - Feb 2025 (YT) - VVC;Ahmad Tea;22132274384;632;0.05%;1,269,111;3;1.5;694,127;0;1898.1;0;0
In-feed;Ahmad Tea Jan - Feb 2025 (YT) - VVC;Ahmad Tea;22132274384;2;0.01%;19,116;3.29;0.34;948;0.01;6.57;0;0
Skippable in-stream;T03_001636_HR_NFC_CellularEpigenetics_CO_Sep25_Oct25_fullf_OMD_DigGR_TrueView_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22928895972;2,188;0.17%;1,256,267;1.31;2.28;352,696;0.01;2860.6;523.76;5.46
Skippable in-stream;T03_001636_HR_NFC_CellularEpigenetics_AW_Sep25_Oct25_fullf_OMD_DigGR_VRC_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22911143511;1,242;0.10%;1,235,673;2.52;2.54;379,850;0.01;3132.99;163.01;19.22
Bumper;T03_001636_HR_NFC_CellularEpigenetics_AW_Sep25_Oct25_fullf_OMD_DigGR_VRC_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22911143511;2,255;0.13%;1,692,051;1.47;1.96;0;0;3321.82;89.84;36.97
Shorts;T03_001636_HR_NFC_CellularEpigenetics_AW_Sep25_Oct25_fullf_OMD_DigGR_VRC_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22911143511;3,859;0.16%;2,383,762;0.61;0.99;41,910;0.06;2351.18;599;3.93
Skippable in-stream;T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22876405666;636;0.09%;739,849;2.63;2.26;238,236;0.01;1674.51;36;46.51
Bumper;T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22876405666;1,659;0.10%;1,602,204;1.65;1.71;0;0;2740.46;2;1370.23
Shorts;T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22876405666;3,026;0.18%;1,727,374;0.52;0.92;16,720;0.09;1586.23;118.79;13.35
Skippable in-stream;T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCM_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22867060452;375;0.08%;446,029;2.14;1.8;148,905;0.01;801.23;6;133.54
Bumper;T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCM_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22867060452;826;0.09%;885,104;1.4;1.3;0;0;1155.05;0;0
Shorts;T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCM_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22867060452;1,215;0.11%;1,104,358;0.61;0.67;8,450;0.09;744.96;25;29.8
Skippable in-stream;T03_001637_HR_NFC_Q10UVSerum_AW_Jul25_Aug25_fullf_OMD_DigGR_VRC;HR_Nivea_YouTube_x_OMD_EUR;22759159350;1,875;0.13%;1,485,479;2.02;2.55;419,505;0.01;3780.69;181.03;20.88
Bumper;T03_001637_HR_NFC_Q10UVSerum_AW_Jul25_Aug25_fullf_OMD_DigGR_VRC;HR_Nivea_YouTube_x_OMD_EUR;22759159350;2,953;0.15%;1,981,590;1.38;2.05;0;0;4071.91;45.42;89.65
Shorts;T03_001637_HR_NFC_Q10UVSerum_AW_Jul25_Aug25_fullf_OMD_DigGR_VRC;HR_Nivea_YouTube_x_OMD_EUR;22759159350;3,908;0.19%;2,087,113;0.58;1.08;19,752;0.11;2247.46;214.87;10.46
Shorts;T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_Shorts;HR_Nivea_YouTube_x_OMD_EUR;22710781375;2,255;0.11%;2,090,687;0.67;0.72;29,207;0.05;1500.92;43.13;34.8
Skippable in-stream;T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_TrueView;HR_Nivea_YouTube_x_OMD_EUR;22707031568;13,130;0.22%;5,965,313;0.91;2.01;1,516,039;0.01;11997.8;432.96;27.71
Bumper;T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22701067602;14,555;0.21%;7,060,434;0.82;1.7;0;0;11994.29;99.9;120.06
Skippable in-stream;T03_001642_HR_NFC_Luminous630Glow_CO_Jun25_Aug25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22686046442;11,287;0.25%;4,512,157;1.21;3.02;1,137,064;0.01;13647.9;639.09;21.36
Skippable in-stream;T03_001632_HR_NFC_CellularSerumRange_AW_Jun25_Aug25_fullf_OMD_DigGR_TrueView;HR_Nivea_YouTube_x_OMD_EUR;22673212687;1,877;0.13%;1,421,076;2.93;3.87;913,574;0.01;5500.45;379.88;14.48
Bumper;T03_001632_HR_NFC_CellularSerumRange_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22673043328;5,036;0.21%;2,418,500;1.09;2.27;0;0;5497.81;99.52;55.24
Bumper;T03_001642_HR_NFC_Luminous630Glow_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22647377695;6,226;0.18%;3,501,414;1.2;2.14;0;0;7499.69;20.61;363.8
Shorts;T03_001642_HR_NFC_Luminous630Glow_CO_Jun25_Aug25_fullf_OMD_DigGR_Shorts;HR_Nivea_YouTube_x_OMD_EUR;22643794958;3,444;0.28%;1,247,772;0.37;1.03;55,478;0.02;1287.5;180.84;7.12
Non-skippable in-stream;202505//Syoss Care//Syoss_CAR Keratin RL 25//Syoss_CAR Keratin RL 25//video//Trueview;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22642352104;6,179;0.11%;5,521,544;2.22;2.48;0;0;13711.21;0;0
Skippable in-stream;T03_000033_HR_NCR_Soft_AW_Jun25_Aug25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22642276246;3,376;0.14%;2,369,484;1.9;2.7;642,647;0.01;6400.58;319.84;20.01
Bumper;T03_000033_HR_NCR_Soft_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22642254895;5,110;0.16%;3,133,659;1.25;2.04;0;0;6400.73;90.25;70.92
Skippable in-stream;T03_001642_HR_NFC_Luminous630Glow_AW_Jun25_Aug25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22637616678;4,825;0.18%;2,653,588;1.55;2.83;705,224;0.01;7500.18;271.45;27.63
Skippable in-stream;202505//Syoss Care//Syoss_CAR Keratin RL 25//Syoss_CAR Keratin RL 25//video//Bumper;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22632678660;598;0.13%;462,237;1.56;2.02;148,132;0.01;932.34;0;0
Bumper;202505//Syoss Care//Syoss_CAR Keratin RL 25//Syoss_CAR Keratin RL 25//video//Bumper;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22632678660;16,434;0.24%;6,753,519;0.6;1.46;0;0;9875.69;0;0
Bumper;202506//Gliss//Gliss_CAR Liquid Silk LX 24//Gliss_CAR Liquid Silk LX//video//Bumper;CEE//HR//B//Hair Care//Gliss Care//Gliss;22629474629;7,204;0.20%;3,515,363;0.69;1.41;0;0;4941.48;0;0
Non-skippable in-stream;202506//Gliss//Gliss_CAR Liquid Silk LX 24//Gliss_CAR Liquid Silk LX//video//TrueView;CEE//HR//B//Hair Care//Gliss Care//Gliss;22629454076;3,727;0.12%;3,027,352;2;2.46;0;0;7458.56;0;0
Skippable in-stream;T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22609346806;15,672;0.28%;5,623,017;0.79;2.2;1,528,764;0.01;12348.11;1,659.59;7.44
Bumper;T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22605577634;8,367;0.18%;4,584,088;1.03;1.88;0;0;8596.68;132.33;64.96
Skippable in-stream;T03_000286_HR_NFL_MicellarExtra_CO_Jun25_Jul25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22601760185;2,077;0.12%;1,781,591;3.13;3.65;1,177,320;0.01;6499.08;381.09;17.05
Shorts;T03_000286_HR_NFL_MicellarExtra_CO_Jun25_Jul25_fullf_OMD_DigGR_Shorts;HR_Nivea_YouTube_x_OMD_EUR;22601647835;2,814;0.27%;1,055,685;0.25;0.66;29,187;0.02;700.44;134.33;5.21
Skippable in-stream;T03_000286_HR_NFL_MicellarExtra_AW_Jun25_Jul25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22601582282;683;0.11%;595,536;2.34;2.69;170,389;0.01;1600.01;41.15;38.88
Bumper;T03_000286_HR_NFL_MicellarExtra_AW_Jun25_Jul25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22601549246;980;0.12%;786,812;1.63;2.03;0;0;1600.13;28.12;56.9
Shorts;T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Shorts;HR_Nivea_YouTube_x_OMD_EUR;22599321744;3,521;0.19%;1,811,838;0.87;1.68;47,685;0.06;3052.92;214.67;14.22
Bumper;202505//Syoss Styling//Syoss_MBR Keratin RL 25//Syoss_MBR Keratin RL 25//video//Bumper;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22594603356;3,416;0.21%;1,603,504;0.63;1.35;0;0;2163.8;0;0
Non-skippable in-stream;202505//Syoss Styling//Syoss_MBR Keratin RL 25//Syoss_MBR Keratin RL 25//video//Trueview;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22594564050;302;0.02%;1,383,150;10.75;2.35;0;0;3246.12;0;0
Bumper;202505//Persil//Persil_FCN YAGYB ANZ & EU B 25//YAGYB ANZ & EU//video//Bumper;CEE//HR//L//HDD Leading Premium//Perfect Cleanliness//Persil;22592918381;19,771;0.22%;8,852,533;0.59;1.31;0;0;11608.22;0;0
Non-skippable in-stream;202505//Persil//Persil_FCN YAGYB ANZ & EU B 25//YAGYB ANZ & EU//video//Trueview;CEE//HR//L//HDD Leading Premium//Perfect Cleanliness//Persil;22592916878;10,386;0.16%;6,631,590;1.35;2.11;0;0;13999.13;0;0
Shorts;T03_000098_HR_NSU_ProtectMoisture_CO_May25_Jul25_fullf_OMD_DigGR_Shorts;HR_Nivea_YouTube_x_OMD_EUR;22551605888;1,508;0.29%;518,281;0.17;0.48;10,644;0.02;250.66;75.41;3.32
Bumper;T03_000098_HR_NSU_ProtectMoisture_AW_May25_Jul25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22551416534;4,927;0.17%;2,855,595;1.07;1.85;0;0;5281.77;69.76;75.71
Skippable in-stream;T03_000098_HR_NSU_ProtectMoisture_CO_May25_Jul25_fullf_OMD_DigGR_TrueView;HR_Nivea_YouTube_x_OMD_EUR;22545157905;6,307;0.23%;2,695,530;1.57;3.67;1,583,631;0.01;9894.41;1,012.01;9.78
Bumper;202504//Syoss Color//Syoss_COL Keratin RL 25//Syoss_COL Keratin RL 25//video//Bumper;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22533691090;4,729;0.22%;2,121,776;0.63;1.41;0;0;2999.76;0;0
Non-skippable in-stream;202504//Syoss Color//Syoss_COL Keratin RL 25//Syoss_COL Keratin RL 25//video//Trueview;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22533659230;1,174;0.06%;2,079,295;4.26;2.4;0;0;5000.15;0;0
Non-skippable in-stream;202505//Schauma//Schauma_CAR Long Hair B 25//Schauma_CAR Long Hair B 25//video//Trueview;CEE//HR//B//Hair Care//Schauma Family//Schauma;22530853916;2,624;0.06%;4,451,056;3.62;2.13;0;0;9501.53;0;0
Bumper;202505//Schauma//Schauma_CAR Long Hair B 25//Schauma_CAR Long Hair B 25//video//Bumper;CEE//HR//B//Hair Care//Schauma Family//Schauma;22524522930;10,862;0.20%;5,359,714;0.67;1.35;0;0;7240.55;0;0
Bumper;202504//Gliss//Gliss_CAR FH Wonder EU B 25//Gliss_CAR FH Wonder EU B 25//video//Bumper;CEE//HR//B//Hair Care//Gliss Care//Gliss;22489976397;4,911;0.21%;2,383,236;0.66;1.37;0;0;3261.71;0;0
Non-skippable in-stream;202504//Gliss//Gliss_CAR FH Wonder EU B 25//Gliss_CAR FH Wonder EU B 25//video//TrueView;CEE//HR//B//Hair Care//Gliss Care//Gliss;22484022653;3,372;0.15%;2,282,581;2.08;3.07;0;0;6998.55;0;0
Bumper;T03_001594_HR_NFC_Q10DualActionSerum_AW_Apr25_Jun25_fullf_OMD_DigGR_BumperYounger;HR_Nivea_YouTube_x_OMD_EUR;22449249724;877;0.16%;542,622;1.23;1.99;0;0;1080.42;72.06;14.99
Skippable in-stream;T03_001594_HR_NFC_Q10DualActionSerum_CO_Apr25_Jun25_fullf_OMD_DigGR_TrueViewOlder;HR_Nivea_YouTube_x_OMD_EUR;22445951240;5,743;0.41%;1,412,118;0.73;2.97;785,789;0.01;4200.21;2,075.38;2.02
Skippable in-stream;T03_001594_HR_NFC_Q10DualActionSerum_CO_Apr25_Jun25_fullf_OMD_DigGR_TrueViewYounger;HR_Nivea_YouTube_x_OMD_EUR;22445914925;3,911;0.21%;1,845,264;1.61;3.41;1,145,752;0.01;6300.19;871.63;7.23
Skippable in-stream;T03_001594_HR_NFC_Q10DualActionSerum_AW_Apr25_Jun25_fullf_OMD_DigGR_TrueViewOlder;HR_Nivea_YouTube_x_OMD_EUR;22439426145;888;0.22%;409,151;1.22;2.64;274,452;0;1080.35;520.78;2.07
Skippable in-stream;T03_001594_HR_NFC_Q10DualActionSerum_AW_Apr25_Jun25_fullf_OMD_DigGR_TrueViewYounger;HR_Nivea_YouTube_x_OMD_EUR;22439414346;452;0.09%;493,963;3.58;3.28;357,282;0;1620.32;137.88;11.75
Bumper;T03_001594_HR_NFC_Q10DualActionSerum_AW_Apr25_Jun25_fullf_OMD_DigGR_BumperOlder;HR_Nivea_YouTube_x_OMD_EUR;22439393505;1,079;0.26%;419,079;0.67;1.72;0;0;720.41;41.2;17.49
Skippable in-stream;T03_000033_HR_NCR_Soft_CO_Apr25_Jun25_fullf_OMD_DigGR_TrueView;HR_Nivea_YouTube_x_OMD_EUR;22429642072;6,073;0.20%;3,041,658;1.11;2.22;935,683;0.01;6765.28;233.56;28.97
Bumper;T03_000033_HR_NCR_Soft_AW_Apr25_Jun25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22429432504;8,678;0.20%;4,272,527;1;2.03;0;0;8681.97;35.86;242.13
Skippable in-stream;T03_000033_HR_NCR_Soft_AW_Apr25_Jun25_fullf_OMD_DigGR_TrueView;HR_Nivea_YouTube_x_OMD_EUR;22419536577;6,523;0.20%;3,188,543;1.09;2.23;855,258;0.01;7103.6;380.96;18.65
